date,sku_id,demand_units,weekday
2010-10-19,UCI-85123A,88,Tue
2010-10-20,UCI-85123A,93,Wed
2010-10-21,UCI-85123A,230,Thu
2010-10-22,UCI-85123A,114,Fri
2010-10-23,UCI-85123A,0,Sat
2010-10-24,UCI-85123A,141,Sun
2010-10-25,UCI-85123A,472,Mon
2010-10-26,UCI-85123A,75,Tue
2010-10-27,UCI-85123A,170,Wed
2010-10-28,UCI-85123A,418,Thu
2010-10-29,UCI-85123A,175,Fri
2010-10-30,UCI-85123A,0,Sat
2010-10-31,UCI-85123A,157,Sun
2010-11-01,UCI-85123A,97,Mon
2010-11-02,UCI-85123A,191,Tue
2010-11-03,UCI-85123A,494,Wed
2010-11-04,UCI-85123A,252,Thu
2010-11-05,UCI-85123A,228,Fri
2010-11-06,UCI-85123A,0,Sat
2010-11-07,UCI-85123A,105,Sun
2010-11-08,UCI-85123A,112,Mon
2010-11-09,UCI-85123A,102,Tue
2010-11-10,UCI-85123A,924,Wed
2010-11-11,UCI-85123A,142,Thu
2010-11-12,UCI-85123A,200,Fri
2010-11-13,UCI-85123A,0,Sat
2010-11-14,UCI-85123A,146,Sun
2010-11-15,UCI-85123A,86,Mon
2010-11-16,UCI-85123A,161,Tue
2010-11-17,UCI-85123A,237,Wed
2010-11-18,UCI-85123A,201,Thu
2010-11-19,UCI-85123A,95,Fri
2010-11-20,UCI-85123A,0,Sat
2010-11-21,UCI-85123A,111,Sun
2010-11-22,UCI-85123A,245,Mon
2010-11-23,UCI-85123A,516,Tue
2010-11-24,UCI-85123A,250,Wed
2010-11-25,UCI-85123A,896,Thu
2010-11-26,UCI-85123A,121,Fri
2010-11-27,UCI-85123A,0,Sat
2010-11-28,UCI-85123A,127,Sun
2010-11-29,UCI-85123A,341,Mon
2010-11-30,UCI-85123A,287,Tue
2010-12-01,UCI-85123A,908,Wed
2010-12-02,UCI-85123A,618,Thu
2010-12-03,UCI-85123A,120,Fri
2010-12-04,UCI-85123A,0,Sat
2010-12-05,UCI-85123A,396,Sun
2010-12-06,UCI-85123A,322,Mon
2010-12-07,UCI-85123A,754,Tue
2010-12-08,UCI-85123A,302,Wed
2010-12-09,UCI-85123A,390,Thu
2010-12-10,UCI-85123A,196,Fri
2010-12-11,UCI-85123A,0,Sat
2010-12-12,UCI-85123A,42,Sun
2010-12-13,UCI-85123A,337,Mon
2010-12-14,UCI-85123A,190,Tue
2010-12-15,UCI-85123A,112,Wed
2010-12-16,UCI-85123A,790,Thu
2010-12-17,UCI-85123A,58,Fri
2010-12-18,UCI-85123A,0,Sat
2010-12-19,UCI-85123A,42,Sun
2010-12-20,UCI-85123A,85,Mon
2010-12-21,UCI-85123A,42,Tue
2010-12-22,UCI-85123A,25,Wed
2010-12-23,UCI-85123A,47,Thu
2010-12-24,UCI-85123A,0,Fri
2010-12-25,UCI-85123A,0,Sat
2010-12-26,UCI-85123A,0,Sun
2010-12-27,UCI-85123A,0,Mon
2010-12-28,UCI-85123A,0,Tue
2010-12-29,UCI-85123A,0,Wed
2010-12-30,UCI-85123A,0,Thu
2010-12-31,UCI-85123A,0,Fri
2011-01-01,UCI-85123A,0,Sat
2011-01-02,UCI-85123A,0,Sun
2011-01-03,UCI-85123A,0,Mon
2011-01-04,UCI-85123A,67,Tue
2011-01-05,UCI-85123A,304,Wed
2011-01-06,UCI-85123A,171,Thu
2011-01-07,UCI-85123A,334,Fri
2011-01-08,UCI-85123A,0,Sat
2011-01-09,UCI-85123A,97,Sun
2011-01-10,UCI-85123A,12,Mon
2011-01-11,UCI-85123A,3114,Tue
2011-01-12,UCI-85123A,83,Wed
2011-01-13,UCI-85123A,8,Thu
2011-01-14,UCI-85123A,89,Fri
2011-01-15,UCI-85123A,0,Sat
2011-01-16,UCI-85123A,23,Sun
2011-01-17,UCI-85123A,220,Mon
2011-01-18,UCI-85123A,18,Tue
2011-01-19,UCI-85123A,271,Wed
2011-01-20,UCI-85123A,42,Thu
2011-01-21,UCI-85123A,64,Fri
2011-01-22,UCI-85123A,0,Sat
2011-01-23,UCI-85123A,47,Sun
2011-01-24,UCI-85123A,11,Mon
2011-01-25,UCI-85123A,97,Tue
2011-01-26,UCI-85123A,183,Wed
2011-01-27,UCI-85123A,64,Thu
2011-01-28,UCI-85123A,68,Fri
2011-01-29,UCI-85123A,0,Sat
2011-01-30,UCI-85123A,123,Sun
2011-01-31,UCI-85123A,31,Mon
2011-02-01,UCI-85123A,195,Tue
2011-02-02,UCI-85123A,222,Wed
2011-02-03,UCI-85123A,63,Thu
2011-02-04,UCI-85123A,42,Fri
2011-02-05,UCI-85123A,0,Sat
2011-02-06,UCI-85123A,35,Sun
2011-02-07,UCI-85123A,69,Mon
2011-02-08,UCI-85123A,153,Tue
2011-02-09,UCI-85123A,14,Wed
2011-02-10,UCI-85123A,66,Thu
2011-02-11,UCI-85123A,209,Fri
2011-02-12,UCI-85123A,0,Sat
2011-02-13,UCI-85123A,6,Sun
2011-02-14,UCI-85123A,66,Mon
2011-02-15,UCI-85123A,12,Tue
2011-02-16,UCI-85123A,203,Wed
2011-02-17,UCI-85123A,50,Thu
2011-02-18,UCI-85123A,6,Fri
2011-02-19,UCI-85123A,0,Sat
2011-02-20,UCI-85123A,28,Sun
2011-02-21,UCI-85123A,23,Mon
2011-02-22,UCI-85123A,96,Tue
2011-02-23,UCI-85123A,116,Wed
2011-02-24,UCI-85123A,99,Thu
2011-02-25,UCI-85123A,40,Fri
2011-02-26,UCI-85123A,0,Sat
2011-02-27,UCI-85123A,27,Sun
2011-02-28,UCI-85123A,37,Mon
2011-03-01,UCI-85123A,86,Tue
2011-03-02,UCI-85123A,33,Wed
2011-03-03,UCI-85123A,96,Thu
2011-03-04,UCI-85123A,27,Fri
2011-03-05,UCI-85123A,0,Sat
2011-03-06,UCI-85123A,101,Sun
2011-03-07,UCI-85123A,26,Mon
2011-03-08,UCI-85123A,145,Tue
2011-03-09,UCI-85123A,98,Wed
2011-03-10,UCI-85123A,57,Thu
2011-03-11,UCI-85123A,125,Fri
2011-03-12,UCI-85123A,0,Sat
2011-03-13,UCI-85123A,3,Sun
2011-03-14,UCI-85123A,19,Mon
2011-03-15,UCI-85123A,114,Tue
2011-03-16,UCI-85123A,141,Wed
2011-03-17,UCI-85123A,87,Thu
2011-03-18,UCI-85123A,57,Fri
2011-03-19,UCI-85123A,0,Sat
2011-03-20,UCI-85123A,47,Sun
2011-03-21,UCI-85123A,38,Mon
2011-03-22,UCI-85123A,84,Tue
2011-03-23,UCI-85123A,83,Wed
2011-03-24,UCI-85123A,52,Thu
2011-03-25,UCI-85123A,31,Fri
2011-03-26,UCI-85123A,0,Sat
2011-03-27,UCI-85123A,77,Sun
2011-03-28,UCI-85123A,44,Mon
2011-03-29,UCI-85123A,185,Tue
2011-03-30,UCI-85123A,68,Wed
2011-03-31,UCI-85123A,75,Thu
2011-04-01,UCI-85123A,133,Fri
2011-04-02,UCI-85123A,0,Sat
2011-04-03,UCI-85123A,77,Sun
2011-04-04,UCI-85123A,66,Mon
2011-04-05,UCI-85123A,51,Tue
2011-04-06,UCI-85123A,65,Wed
2011-04-07,UCI-85123A,50,Thu
2011-04-08,UCI-85123A,68,Fri
2011-04-09,UCI-85123A,0,Sat
2011-04-10,UCI-85123A,74,Sun
2011-04-11,UCI-85123A,45,Mon
2011-04-12,UCI-85123A,198,Tue
2011-04-13,UCI-85123A,73,Wed
2011-04-14,UCI-85123A,127,Thu
2011-04-15,UCI-85123A,8,Fri
2011-04-16,UCI-85123A,0,Sat
2011-04-17,UCI-85123A,23,Sun
2011-04-18,UCI-85123A,2102,Mon
2011-04-19,UCI-85123A,110,Tue
2011-04-20,UCI-85123A,73,Wed
2011-04-21,UCI-85123A,137,Thu
2011-04-22,UCI-85123A,0,Fri
2011-04-23,UCI-85123A,0,Sat
2011-04-24,UCI-85123A,0,Sun
2011-04-25,UCI-85123A,0,Mon
2011-04-26,UCI-85123A,179,Tue
2011-04-27,UCI-85123A,73,Wed
2011-04-28,UCI-85123A,111,Thu
2011-04-29,UCI-85123A,0,Fri
2011-04-30,UCI-85123A,0,Sat
2011-05-01,UCI-85123A,12,Sun
2011-05-02,UCI-85123A,0,Mon
2011-05-03,UCI-85123A,317,Tue
2011-05-04,UCI-85123A,85,Wed
2011-05-05,UCI-85123A,421,Thu
2011-05-06,UCI-85123A,179,Fri
2011-05-07,UCI-85123A,0,Sat
2011-05-08,UCI-85123A,142,Sun
2011-05-09,UCI-85123A,216,Mon
2011-05-10,UCI-85123A,161,Tue
2011-05-11,UCI-85123A,120,Wed
2011-05-12,UCI-85123A,227,Thu
2011-05-13,UCI-85123A,25,Fri
2011-05-14,UCI-85123A,0,Sat
2011-05-15,UCI-85123A,143,Sun
2011-05-16,UCI-85123A,201,Mon
2011-05-17,UCI-85123A,166,Tue
2011-05-18,UCI-85123A,73,Wed
2011-05-19,UCI-85123A,109,Thu
2011-05-20,UCI-85123A,92,Fri
2011-05-21,UCI-85123A,0,Sat
2011-05-22,UCI-85123A,153,Sun
2011-05-23,UCI-85123A,113,Mon
2011-05-24,UCI-85123A,144,Tue
2011-05-25,UCI-85123A,68,Wed
2011-05-26,UCI-85123A,653,Thu
2011-05-27,UCI-85123A,22,Fri
2011-05-28,UCI-85123A,0,Sat
2011-05-29,UCI-85123A,26,Sun
2011-05-30,UCI-85123A,0,Mon
2011-05-31,UCI-85123A,168,Tue
2011-06-01,UCI-85123A,29,Wed
2011-06-02,UCI-85123A,354,Thu
2011-06-03,UCI-85123A,29,Fri
2011-06-04,UCI-85123A,0,Sat
2011-06-05,UCI-85123A,49,Sun
2011-06-06,UCI-85123A,108,Mon
2011-06-07,UCI-85123A,56,Tue
2011-06-08,UCI-85123A,110,Wed
2011-06-09,UCI-85123A,4015,Thu
2011-06-10,UCI-85123A,68,Fri
2011-06-11,UCI-85123A,0,Sat
2011-06-12,UCI-85123A,33,Sun
2011-06-13,UCI-85123A,17,Mon
2011-06-14,UCI-85123A,50,Tue
2011-06-15,UCI-85123A,120,Wed
2011-06-16,UCI-85123A,42,Thu
2011-06-17,UCI-85123A,15,Fri
2011-06-18,UCI-85123A,0,Sat
2011-06-19,UCI-85123A,147,Sun
2011-06-20,UCI-85123A,29,Mon
2011-06-21,UCI-85123A,13,Tue
2011-06-22,UCI-85123A,18,Wed
2011-06-23,UCI-85123A,106,Thu
2011-06-24,UCI-85123A,38,Fri
2011-06-25,UCI-85123A,0,Sat
2011-06-26,UCI-85123A,32,Sun
2011-06-27,UCI-85123A,66,Mon
2011-06-28,UCI-85123A,13,Tue
2011-06-29,UCI-85123A,77,Wed
2011-06-30,UCI-85123A,46,Thu
2011-07-01,UCI-85123A,39,Fri
2011-07-02,UCI-85123A,0,Sat
2011-07-03,UCI-85123A,18,Sun
2011-07-04,UCI-85123A,9,Mon
2011-07-05,UCI-85123A,134,Tue
2011-07-06,UCI-85123A,5,Wed
2011-07-07,UCI-85123A,59,Thu
2011-07-08,UCI-85123A,37,Fri
2011-07-09,UCI-85123A,0,Sat
2011-07-10,UCI-85123A,20,Sun
2011-07-11,UCI-85123A,81,Mon
2011-07-12,UCI-85123A,789,Tue
2011-07-13,UCI-85123A,58,Wed
2011-07-14,UCI-85123A,224,Thu
2011-07-15,UCI-85123A,23,Fri
2011-07-16,UCI-85123A,0,Sat
2011-07-17,UCI-85123A,23,Sun
2011-07-18,UCI-85123A,120,Mon
2011-07-19,UCI-85123A,157,Tue
2011-07-20,UCI-85123A,104,Wed
2011-07-21,UCI-85123A,56,Thu
2011-07-22,UCI-85123A,132,Fri
2011-07-23,UCI-85123A,0,Sat
2011-07-24,UCI-85123A,160,Sun
2011-07-25,UCI-85123A,43,Mon
2011-07-26,UCI-85123A,8,Tue
2011-07-27,UCI-85123A,58,Wed
2011-07-28,UCI-85123A,490,Thu
2011-07-29,UCI-85123A,74,Fri
2011-07-30,UCI-85123A,0,Sat
2011-07-31,UCI-85123A,107,Sun
2011-08-01,UCI-85123A,61,Mon
2011-08-02,UCI-85123A,32,Tue
2011-08-03,UCI-85123A,91,Wed
2011-08-04,UCI-85123A,130,Thu
2011-08-05,UCI-85123A,38,Fri
2011-08-06,UCI-85123A,0,Sat
2011-08-07,UCI-85123A,89,Sun
2011-08-08,UCI-85123A,73,Mon
2011-08-09,UCI-85123A,121,Tue
2011-08-10,UCI-85123A,132,Wed
2011-08-11,UCI-85123A,71,Thu
2011-08-12,UCI-85123A,28,Fri
2011-08-13,UCI-85123A,0,Sat
2011-08-14,UCI-85123A,52,Sun
2011-08-15,UCI-85123A,104,Mon
2011-08-16,UCI-85123A,87,Tue
2011-08-17,UCI-85123A,70,Wed
2011-08-18,UCI-85123A,15,Thu
2011-08-19,UCI-85123A,6,Fri
2011-08-20,UCI-85123A,0,Sat
2011-08-21,UCI-85123A,15,Sun
2011-08-22,UCI-85123A,420,Mon
2011-08-23,UCI-85123A,122,Tue
2011-08-24,UCI-85123A,61,Wed
2011-08-25,UCI-85123A,107,Thu
2011-08-26,UCI-85123A,24,Fri
2011-08-27,UCI-85123A,0,Sat
2011-08-28,UCI-85123A,42,Sun
2011-08-29,UCI-85123A,0,Mon
2011-08-30,UCI-85123A,63,Tue
2011-08-31,UCI-85123A,39,Wed
2011-09-01,UCI-85123A,112,Thu
2011-09-02,UCI-85123A,166,Fri
2011-09-03,UCI-85123A,0,Sat
2011-09-04,UCI-85123A,16,Sun
2011-09-05,UCI-85123A,95,Mon
2011-09-06,UCI-85123A,184,Tue
2011-09-07,UCI-85123A,25,Wed
2011-09-08,UCI-85123A,27,Thu
2011-09-09,UCI-85123A,29,Fri
2011-09-10,UCI-85123A,0,Sat
2011-09-11,UCI-85123A,89,Sun
2011-09-12,UCI-85123A,117,Mon
2011-09-13,UCI-85123A,133,Tue
2011-09-14,UCI-85123A,85,Wed
2011-09-15,UCI-85123A,146,Thu
2011-09-16,UCI-85123A,101,Fri
2011-09-17,UCI-85123A,0,Sat
2011-09-18,UCI-85123A,81,Sun
2011-09-19,UCI-85123A,42,Mon
2011-09-20,UCI-85123A,399,Tue
2011-09-21,UCI-85123A,11,Wed
2011-09-22,UCI-85123A,58,Thu
2011-09-23,UCI-85123A,131,Fri
2011-09-24,UCI-85123A,0,Sat
2011-09-25,UCI-85123A,69,Sun
